id,place_id,name_id
1,16130,1
2,16130,2
3,16130,3
4,16130,4
5,16130,5
6,16130,6
7,16130,7
8,16130,8
9,16130,9
10,16130,10
11,16130,11
12,16130,12
13,16130,13
14,16130,14
15,16130,15
16,16130,16
17,16130,17
18,16130,18
19,22077,19
20,22077,20
21,22077,21
22,22077,22
23,22077,23
24,22077,24
25,22077,25
26,22077,26
27,22077,27
28,22077,28
29,22077,29
30,22077,30
31,22077,31
32,22077,32
33,22077,33
34,22077,34
35,22077,35
36,22077,36
37,22077,37
38,22077,38
39,22077,39
40,22077,40
41,22077,41
42,22077,42
43,22077,43
44,22077,44
45,22077,45
46,22077,46
47,22077,47
48,22077,48
49,22077,49
50,22077,50
51,22077,51
52,22077,52
53,22077,53
54,22077,54
55,22077,55
56,22077,56
57,22077,57
58,22077,58
59,22077,59
60,22077,60
61,22077,61
62,22077,62
63,22077,63
64,22077,64
65,22077,65
66,22077,66
67,22077,67
68,22077,68
69,22077,69
70,22077,70
71,22077,71
72,22077,72
73,22077,73
74,22077,74
75,22077,75
76,22077,76
77,22077,77
78,22077,78
79,22077,79
80,22077,80
81,22077,81
82,22077,82
83,22077,83
84,22077,84
85,22077,85
86,22077,86
87,22077,87
88,22077,88
89,22077,89
90,22077,90
91,22077,91
92,22077,92
93,22077,93
94,22077,94
95,22077,95
96,22077,96
97,22077,97
98,22077,98
99,22077,99
100,22077,100
101,22077,101
102,22077,102
103,22077,103
104,22077,104
105,22077,105
106,22077,106
107,22077,107
108,22077,108
109,22077,109
110,22077,110
111,22077,111
112,22077,112
113,22077,113
114,22077,114
115,22077,115
116,22077,116
117,22077,117
118,22077,118
119,22077,119
120,22077,120
121,22077,121
122,22077,122
123,22077,123
124,22077,124
125,22077,125
126,22077,126
127,22077,127
128,22077,128
129,22077,129
130,22077,130
131,22077,131
132,22077,132
133,22077,133
134,22077,134
135,22077,135
136,22077,136
137,22077,137
138,22077,138
139,22077,139
140,22077,140
141,22077,141
142,22077,142
143,22077,143
